generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Zinc sulfate,,oral sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Drugs used in acute diarrhea,XI,โรคระบบทางเดินอาหาร,ปัจจุบันองค์การอนามัยโลกและยูนิเซพแนะนำให้เด็กเล็กอายุต่ำกว่า 5 ขวบทุกคน ที่มีอาการท้องร่วงได้รับธาตุสังกะสีเสริมในกระบวนการรักษา โดยให้ยานาน 10-14 วัน เพราะช่วยลดความรุนแรงของโรค ลดระยะเวลาการเป็นโรคและป้องกันการเกิดท้องร่วงในครั้งถัดไปได้ด้วย,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Loperamide hydrochloride,,"cap, tab",,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Drugs used in acute diarrhea,XI,โรคระบบทางเดินอาหาร,,ห้ามใช้กับเด็กอายุน้อยกว่า 12 ปี ควรใช้กับผู้ใหญ่เฉพาะเมื่อจำเป็นและไม่มีข้อห้ามใช้,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sulfasalazine,,"tab, EC tab",,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Drugs used in chronic bowel disorders,XI,โรคระบบทางเดินอาหาร,,ใช้สำหรับ chronic inflammatory bowel disease,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mesalazine,Mesalamine,"EC tab , rectal supp",,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Drugs used in chronic bowel disorders,XI,โรคระบบทางเดินอาหาร,,"1.ชนิดเม็ด ใช้เป็นทางเลือกของ sulfasalazine ในกรณีผู้ป่วยแพ้ยากลุ่มซัลฟา หรือต้องการลดอาการข้างเคียงจากการใช้ยา
2.ชนิดเหน็บทวารหนัก ใช้สำหรับ ulcerative colitis (บริเวณ sigmoid และ rectum) และ radiation proctitis",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Bisacodyl,,"EC tab, rectal supp",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Castor oil,,oil,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Glycerol,,rectal supp,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Senna,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Magnesium hydroxide,,"susp, susp (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Magnesium sulfate,,"mixt, mixt (hosp), sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium phosphates,,enema,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lactulose,,syr,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,ใช้สำหรับ hepatic encephalopathy หรือ chronic constipation ในเด็กอายุน้อยกว่า 6 ปี หรือใช้เป็นทางเลือกในหญิงตั้งครรภ์,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Macrogols with electrolytes,"Polyethylene glycol, PEG",oral pwdr (hosp),,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้,,ไม่แนะนำให้ใช้เป็นยาระบายหรือยาถ่าย,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium phosphates,,oral sol,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Laxatives,XI,โรคระบบทางเดินอาหาร,,ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้,"1. ไม่ควรรับประทานเกินครั้งละ 45 มิลลิลิตร และไม่เกิน 90 มิลลิลิตรภายใน 24 ชั่วโมง  
2. ไม่แนะนำให้ใช้ยานี้เพื่อทดแทนการขาดฟอสเฟต หรือใช้เป็นยาระบายหรือยาถ่าย
3. ควรระวังในผู้ป่วยสูงอายุ ผู้ป่วยโรคไตวาย และผู้ป่วยโรคหัวใจล้มเหลว",,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Local anesthetic + Corticosteroid with/without astringent,,"cream, oint, rectal supp",,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Local preparations for anal and rectal disorders,XI,โรคระบบทางเดินอาหาร,,"1. หนึ่งรูปแบบให้เลือก 1 สูตร 
2. ใช้ไม่เกิน 7 วัน",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Colestyramine,Cholestyramine,oral pwdr,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Drugs affecting intestinal secretions,XI,โรคระบบทางเดินอาหาร,,ใช้สำหรับ bile-acid diarrhea และ short bowel syndrome,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Pancreatic enzymes,,"cap, tab , EC cap , EC tab",,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Gastro-intestinal system,Drugs affecting intestinal secretions,XI,โรคระบบทางเดินอาหาร,,ใช้เฉพาะผู้ป่วยที่เป็น pancreatic insufficiency เท่านั้น,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ursodeoxycholic acid,Ursodiol,cap,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Gastro-intestinal system,Drugs affecting intestinal secretions,XI,โรคระบบทางเดินอาหาร,,"ใช้สำหรับ cholestatic liver disease ได้แก่ primary biliary cirrhosis, sclerosing cholangitis, biliary atresia, neonatal hepatitis,chronic cholestasis และ TPN-induced cholestasis",,ส่วนใหญ่นิ่วในถุงน้ำดีใช้ยานี้ไม่ได้ผล,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Digoxin,,"tab, elixir, sterile sol",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Positive inotropic drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Milrinone lactate,,sterile sol,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Positive inotropic drugs,IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้เพิ่มการบีบตัวของหัวใจในผู้ป่วยหลังการผ่าตัดหัวใจ
2. ใช้ทดแทนหรือเสริม dopamine หรือ dobutamine ใน advanced heart failure
3. ใช้เพื่อเพิ่มการบีบตัวของหัวใจในผู้ป่วย advanced heart failure ที่เคยใช้ beta blocker มาก่อน",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Furosemide,,"tab, sterile sol",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Diuretics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hydrochlorothiazide,HCTZ,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Diuretics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mannitol,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Diuretics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Spironolactone,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Diuretics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Amiloride hydrochloride + Hydrochlorothiazide (HCTZ),,tab (เฉพาะ 5 + 50 mg),,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Cardiovascular system,Diuretics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Adenosine,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ supraventricular arrhythmias และการตรวจพิเศษทางหัวใจ,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Atropine sulfate,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ symptomatic bradycardia และการตรวจพิเศษทางหัวใจ,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lidocaine hydrochloride (preservative free),,"sterile sol (เฉพาะ 1%,2%)/sterile sol (hosp)",ยากำพร้า,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ ventricular arrhythmias,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Magnesium sulfate,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ ventricular tachycardia และ refractory supraventricular tachyarrhythmias,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Verapamil,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ supraventricular arrhythmias (SVT) และ atrial fibrillation (AF),,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
